Year,Mon,Dat,VALUE
2007,10,1,14489.9
2008,1,1,14520.7
2008,4,1,14647.3
2008,7,1,14689.2
2008,10,1,14317.2
2009,1,1,14172.2
2009,4,1,14164.2
2009,7,1,14281.9
2009,10,1,14442.8
2010,1,1,14637.6
